"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"mu1=mu2=1_Bivariate",0.5,-0.936,-0.895,-0.854,-0.811,-1.465,-1.461,-1.461,-1.467
"mu1=mu2=1_Bivariate",0.6,-0.983,-0.945,-0.906,-0.865,-1.447,-1.442,-1.441,-1.446
"mu1=mu2=1_Bivariate",0.7,-1.039,-1.006,-0.972,-0.938,-1.416,-1.408,-1.403,-1.403
"mu1=mu2=1_Bivariate",0.8,-1.112,-1.088,-1.068,-1.056,-1.365,-1.349,-1.331,-1.31
"mu1=mu2=1_Bivariate",0.9,-1.214,-1.213,-1.234,-1.312,-1.282,-1.243,-1.185,-1.073
"mu1=mu2=1_Ridge",0.5,-0.969,-0.943,-0.914,-0.877,-1.675,-1.641,-1.622,-1.597
"mu1=mu2=1_Ridge",0.6,-0.991,-0.975,-0.95,-0.924,-1.682,-1.663,-1.649,-1.633
"mu1=mu2=1_Ridge",0.7,-1.015,-1.001,-0.987,-0.969,-1.649,-1.656,-1.665,-1.661
"mu1=mu2=1_Ridge",0.8,-1.058,-1.04,-1.029,-1.021,-1.558,-1.584,-1.605,-1.621
"mu1=mu2=1_Ridge",0.9,-1.135,-1.128,-1.139,-1.187,-1.44,-1.426,-1.396,-1.322
"mu1=mu2=1_Univariate",0.7,-0.724,-0.654,-0.583,-0.513,-1.44,-1.413,-1.385,-1.358
"mu1=mu2=1_Derived",0.5,-0.722,-0.651,-0.58,-0.509,-1.437,-1.41,-1.382,-1.355
"mu1=mu2=1_Derived",0.6,-0.722,-0.651,-0.58,-0.51,-1.438,-1.41,-1.383,-1.355
"mu1=mu2=1_Derived",0.7,-0.722,-0.651,-0.58,-0.51,-1.438,-1.411,-1.383,-1.356
"mu1=mu2=1_Derived",0.8,-0.722,-0.652,-0.58,-0.51,-1.439,-1.411,-1.383,-1.356
"mu1=mu2=1_Derived",0.9,-0.721,-0.651,-0.581,-0.51,-1.439,-1.412,-1.384,-1.356
"mu1=mu2=5_Bivariate",0.5,-0.951,-0.92,-0.888,-0.855,-1.579,-1.578,-1.58,-1.588
"mu1=mu2=5_Bivariate",0.6,-0.988,-0.958,-0.928,-0.896,-1.564,-1.562,-1.564,-1.57
"mu1=mu2=5_Bivariate",0.7,-1.032,-1.006,-0.979,-0.953,-1.54,-1.535,-1.533,-1.535
"mu1=mu2=5_Bivariate",0.8,-1.089,-1.07,-1.055,-1.045,-1.501,-1.489,-1.477,-1.463
"mu1=mu2=5_Bivariate",0.9,-1.169,-1.168,-1.183,-1.243,-1.438,-1.409,-1.366,-1.282
"mu1=mu2=5_Ridge",0.5,-0.969,-0.944,-0.913,-0.876,-1.688,-1.652,-1.633,-1.608
"mu1=mu2=5_Ridge",0.6,-0.99,-0.974,-0.951,-0.922,-1.689,-1.673,-1.669,-1.652
"mu1=mu2=5_Ridge",0.7,-1.016,-1.001,-0.988,-0.97,-1.652,-1.665,-1.667,-1.674
"mu1=mu2=5_Ridge",0.8,-1.059,-1.04,-1.03,-1.019,-1.564,-1.598,-1.622,-1.629
"mu1=mu2=5_Ridge",0.9,-1.137,-1.132,-1.138,-1.189,-1.443,-1.43,-1.409,-1.322
"mu1=mu2=5_Univariate",0.7,-0.771,-0.714,-0.659,-0.606,-1.559,-1.539,-1.519,-1.5
"mu1=mu2=5_Derived",0.5,-0.524,-0.49,-0.46,-0.436,-1.537,-1.504,-1.474,-1.448
"mu1=mu2=5_Derived",0.6,-0.542,-0.509,-0.481,-0.457,-1.557,-1.525,-1.496,-1.47
"mu1=mu2=5_Derived",0.7,-0.558,-0.527,-0.5,-0.477,-1.576,-1.544,-1.516,-1.491
"mu1=mu2=5_Derived",0.8,-0.573,-0.543,-0.517,-0.495,-1.592,-1.562,-1.534,-1.509
"mu1=mu2=5_Derived",0.9,-0.586,-0.557,-0.532,-0.51,-1.607,-1.577,-1.549,-1.524
