"","Multivariate_Est","Multivariate_SE","Multivariate_P_value","Univariate_Est","Univariate_SE","Univariate_P_value","Derived_Est","Derived_SE","Derived_P_value","RC_Est","RC_SE","RC_P_value"
"Male_Protein",0.113,0.039,0.004,0.11,0.022,0,0.1,0.024,0,0.147,0.038,0
"Male_Fat",0.069,0.037,0.063,0.089,0.02,0,0.112,0.026,0,0.216,0.049,0
"Male_Energy",-0.067,0.044,0.125,0.075,0.02,0,0.089,0.021,0,0.198,0.042,0
"Male_BMI",0.371,0.016,0,0.375,0.016,0,0.371,0.016,0,0.375,0.016,0
"Male_Edu",-0.063,0.046,0.174,-0.058,0.046,0.204,-0.063,0.046,0.171,-0.054,0.046,0.238
"Male_Smoke",0.258,0.041,0,0.254,0.041,0,0.258,0.041,0,0.254,0.041,0
"Female_Protein",0.166,0.032,0,0.084,0.019,0,0.062,0.021,0.003,0.264,0.048,0
"Female_Fat",-0.008,0.036,0.822,0.027,0.018,0.139,0.065,0.024,0.007,0.079,0.051,0.122
"Female_Energy",-0.092,0.043,0.032,0.031,0.019,0.101,0.058,0.02,0.003,-0.016,0.042,0.697
"Female_BMI",0.52,0.015,0,0.531,0.015,0,0.52,0.015,0,0.523,0.015,0
"Female_Edu",-0.114,0.049,0.019,-0.114,0.049,0.019,-0.115,0.049,0.019,-0.114,0.049,0.02
"Female_Smoke",0.393,0.048,0,0.386,0.048,0,0.391,0.048,0,0.392,0.048,0
