"","rho_e","beta1_rho_T=0.1","beta1_rho_T=0.2","beta1_rho_T=0.3","beta1_rho_T=0.4","beta2_rho_T=0.1","beta2_rho_T=0.2","beta2_rho_T=0.3","beta2_rho_T=0.4","beta3_rho_T=0.1","beta3_rho_T=0.2","beta3_rho_T=0.3","beta3_rho_T=0.4"
"Male_Multivariate",0.7,-0.122,-0.111,-0.1,-0.089,-0.192,-0.186,-0.181,-0.175,-0.172,-0.173,-0.174,-0.176
"Male_Multivariate",0.8,-0.12,-0.107,-0.094,-0.08,-0.193,-0.187,-0.182,-0.176,-0.18,-0.184,-0.188,-0.193
"Male_Multivariate",0.9,-0.113,-0.096,-0.078,-0.058,-0.192,-0.185,-0.179,-0.173,-0.195,-0.204,-0.215,-0.227
"Male_Multivariate",0.95,-0.105,-0.084,-0.061,-0.033,-0.189,-0.181,-0.174,-0.166,-0.208,-0.223,-0.241,-0.263
"Male_Univariate",0.8,-0.09,-0.076,-0.061,-0.046,-0.151,-0.138,-0.125,-0.112,-0.117,-0.107,-0.096,-0.085
"Male_Derived",0.7,-0.076,-0.06,-0.044,-0.029,-0.133,-0.118,-0.103,-0.088,-0.095,-0.08,-0.066,-0.051
"Male_Derived",0.8,-0.08,-0.065,-0.05,-0.035,-0.138,-0.124,-0.109,-0.095,-0.098,-0.084,-0.07,-0.056
"Male_Derived",0.9,-0.084,-0.069,-0.055,-0.041,-0.143,-0.129,-0.115,-0.102,-0.101,-0.087,-0.073,-0.059
"Male_Derived",0.95,-0.086,-0.071,-0.057,-0.043,-0.145,-0.131,-0.117,-0.104,-0.102,-0.088,-0.074,-0.06
"Female_Multivariate",0.7,-0.096,-0.094,-0.092,-0.09,-0.106,-0.105,-0.103,-0.102,-0.089,-0.084,-0.08,-0.075
"Female_Multivariate",0.8,-0.082,-0.08,-0.078,-0.076,-0.112,-0.111,-0.11,-0.11,-0.102,-0.097,-0.092,-0.087
"Female_Multivariate",0.9,-0.05,-0.046,-0.043,-0.04,-0.121,-0.122,-0.123,-0.125,-0.128,-0.123,-0.118,-0.113
"Female_Multivariate",0.95,-0.016,-0.01,-0.003,0.005,-0.129,-0.133,-0.137,-0.142,-0.155,-0.151,-0.147,-0.143
"Female_Univariate",0.8,-0.103,-0.096,-0.09,-0.084,-0.075,-0.069,-0.062,-0.056,-0.044,-0.037,-0.029,-0.021
"Female_Derived",0.7,-0.105,-0.098,-0.091,-0.084,-0.074,-0.067,-0.061,-0.054,-0.033,-0.025,-0.017,-0.009
"Female_Derived",0.8,-0.106,-0.099,-0.093,-0.086,-0.074,-0.067,-0.061,-0.054,-0.035,-0.027,-0.02,-0.012
"Female_Derived",0.9,-0.107,-0.1,-0.093,-0.087,-0.074,-0.067,-0.061,-0.054,-0.037,-0.029,-0.022,-0.015
"Female_Derived",0.95,-0.107,-0.1,-0.093,-0.087,-0.074,-0.068,-0.061,-0.054,-0.038,-0.031,-0.024,-0.016
