"","rho_e","beta1_rho_T=0.3","beta1_rho_T=0.5","beta1_rho_T=0.7","beta1_rho_T=0.9","beta2_rho_T=0.3","beta2_rho_T=0.5","beta2_rho_T=0.7","beta2_rho_T=0.9"
"mu1=5_mu2=10_Bivariate",0.5,-0.962,-0.846,-0.71,-0.55,-1.945,-1.998,-2.061,-2.139
"mu1=5_mu2=10_Bivariate",0.6,-0.965,-0.838,-0.687,-0.504,-1.943,-2.002,-2.075,-2.166
"mu1=5_mu2=10_Bivariate",0.7,-0.969,-0.828,-0.657,-0.444,-1.941,-2.008,-2.093,-2.201
"mu1=5_mu2=10_Bivariate",0.8,-0.974,-0.816,-0.618,-0.361,-1.939,-2.016,-2.115,-2.248
"mu1=5_mu2=10_Bivariate",0.9,-0.98,-0.799,-0.563,-0.242,-1.936,-2.026,-2.147,-2.316
"mu1=5_mu2=10_Univariate",0.7,-0.876,-0.842,-0.808,-0.774,-1.926,-1.92,-1.915,-1.91
"mu1=5_mu2=10_Derived1",0.5,-0.833,-0.768,-0.699,-0.626,-1.791,-1.795,-1.802,-1.814
"mu1=5_mu2=10_Derived1",0.6,-0.829,-0.762,-0.69,-0.613,-1.769,-1.772,-1.778,-1.788
"mu1=5_mu2=10_Derived1",0.7,-0.825,-0.755,-0.68,-0.599,-1.739,-1.739,-1.742,-1.748
"mu1=5_mu2=10_Derived1",0.8,-0.821,-0.747,-0.668,-0.583,-1.698,-1.691,-1.684,-1.678
"mu1=5_mu2=10_Derived1",0.9,-0.816,-0.739,-0.655,-0.565,-1.637,-1.614,-1.58,-1.516
"mu1=5_mu2=10_Derived2",0.5,0.304,0.417,0.517,0.602,-1.185,-1.13,-1.083,-1.044
"mu1=5_mu2=10_Derived2",0.6,0.296,0.406,0.502,0.581,-1.191,-1.136,-1.089,-1.049
"mu1=5_mu2=10_Derived2",0.7,0.299,0.407,0.5,0.576,-1.187,-1.131,-1.08,-1.036
"mu1=5_mu2=10_Derived2",0.8,0.317,0.426,0.52,0.596,-1.169,-1.106,-1.045,-0.984
"mu1=5_mu2=10_Derived2",0.9,0.357,0.473,0.579,0.674,-1.127,-1.048,-0.957,-0.828
"mu1=10_mu2=5_Bivariate",0.5,-1.323,-1.344,-1.369,-1.401,-1.266,-1.211,-1.147,-1.072
"mu1=10_mu2=5_Bivariate",0.6,-1.36,-1.387,-1.42,-1.463,-1.202,-1.136,-1.058,-0.964
"mu1=10_mu2=5_Bivariate",0.7,-1.404,-1.44,-1.485,-1.544,-1.124,-1.043,-0.944,-0.822
"mu1=10_mu2=5_Bivariate",0.8,-1.46,-1.508,-1.57,-1.654,-1.026,-0.923,-0.794,-0.627
"mu1=10_mu2=5_Bivariate",0.9,-1.531,-1.598,-1.687,-1.813,-0.901,-0.765,-0.588,-0.347
"mu1=10_mu2=5_Univariate",0.7,-0.96,-0.949,-0.938,-0.928,-1.768,-1.751,-1.734,-1.717
"mu1=10_mu2=5_Derived1",0.5,-1.123,-1.108,-1.091,-1.071,-1.596,-1.562,-1.525,-1.487
"mu1=10_mu2=5_Derived1",0.6,-1.147,-1.134,-1.119,-1.101,-1.583,-1.547,-1.509,-1.468
"mu1=10_mu2=5_Derived1",0.7,-1.178,-1.169,-1.16,-1.149,-1.568,-1.53,-1.49,-1.446
"mu1=10_mu2=5_Derived1",0.8,-1.222,-1.222,-1.224,-1.233,-1.552,-1.512,-1.468,-1.422
"mu1=10_mu2=5_Derived1",0.9,-1.287,-1.306,-1.341,-1.424,-1.534,-1.491,-1.444,-1.394
"mu1=10_mu2=5_Derived2",0.5,-0.52,-0.446,-0.375,-0.305,-1.082,-0.957,-0.837,-0.72
"mu1=10_mu2=5_Derived2",0.6,-0.574,-0.504,-0.436,-0.368,-1.159,-1.04,-0.925,-0.813
"mu1=10_mu2=5_Derived2",0.7,-0.633,-0.568,-0.506,-0.445,-1.244,-1.132,-1.026,-0.924
"mu1=10_mu2=5_Derived2",0.8,-0.702,-0.646,-0.597,-0.554,-1.342,-1.242,-1.151,-1.071
"mu1=10_mu2=5_Derived2",0.9,-0.79,-0.754,-0.736,-0.761,-1.462,-1.384,-1.326,-1.302
